feature,mean_abs_shap
nc_Xp-6d,0.02873978799289148
c_SpMAD_Dzv,0.028737790147447668
c_ATSC8v,0.028734034294356225
c_AATSC0m,0.028670089219488794
c_EState_VSA4,0.02840239211073705
nc_VSA_EState6,0.02828633042255492
nc_CIC0,0.028149687651576504
nc_SMR_VSA7,0.028106447204463356
nc_ATS2d,0.028058695435246424
c_ATS7d,0.027980696633272503
nc_Xp-4dv,0.027797215623468943
nc_ATS0dv,0.027752423672572323
nc_TIC5,0.027735394722920508
nc_Xch-6dv,0.027586575033336776
nc_MIC3,0.027526378959423607
c_SM1_Dzi,0.027337320718132475
c_IC1,0.027334238701694137
nc_ATSC7m,0.027288947800748923
nc_VMcGowan,0.027141236754220647
c_EState_VSA3,0.02713009020841355
nc_JGI1,0.02703080889195713
nc_ATS4p,0.026858974266482406
c_SpMAD_Dzi,0.02680196217992266
nc_Xch-7dv,0.026785790835511986
c_SaaCH,0.0266174851971877
c_ATS0Z,0.026556295254028348
nc_ATSC4v,0.026527757107761656
c_ATSC8d,0.02648416332832533
nc_GGI3,0.026447768968373545
c_MID_X,0.02620408527309517
c_ATS6pe,0.02615010914616915
nc_ATS3d,0.026062777730188037
c_TIC5,0.025791125337540514
c_EState_VSA9,0.025655919404756644
nc_SssssC,0.025267513558433968
nc_ATS2dv,0.025255313514051907
nc_SMR_VSA6,0.025189972978047395
nc_Xc-5dv,0.025068379922098982
nc_Xc-3dv,0.024988833467256055
nc_Xc-3d,0.024915092680178146
nc_C2SP3,0.02489525251779084
c_ETA_eta_F,0.02487591000978045
c_SpMAD_Dzpe,0.024852489686946644
c_ATS7dv,0.02472961038703136
c_AETA_eta_R,0.024720655022085543
c_MPC4,0.024717603716146768
nc_ATS1Z,0.024592984752582613
nc_MZ,0.024508676609783862
c_NdsCH,0.024179634344727315
c_ATS1pe,0.024165984175638526
nc_ATSC4d,0.02413795931169829
c_ATS0dv,0.024115662243346103
c_VE1_A,0.02407663894404444
nc_AATS0pe,0.024044169420089745
c_ATSC8i,0.024040624903480242
c_ATS4p,0.023945696040985752
c_ATS2i,0.02393648769864575
nc_ATS3dv,0.02382395276431181
nc_piPC6,0.023794802303253513
nc_CIC1,0.023773201791148967
nc_ATS0pe,0.023640307158666152
nc_ATSC0dv,0.023631712013400887
nc_fragCpx,0.023626622751286182
nc_ATSC0pe,0.02361977630912211
nc_Xp-5d,0.02331257758532939
c_Sm,0.02321325443005284
nc_Xc-6d,0.02320736274462259
c_bpol,0.023149134052319782
c_VR2_Dzp,0.02313827473238127
c_ATS3v,0.023045500771790853
c_ATS1Z,0.022962588629092423
nc_SsssN,0.0229470333828139
nc_ATS8pe,0.022782331957800363
c_Xp-6d,0.02275692020657594
c_AATS0Z,0.02243445692652078
nc_MWC06,0.02238562374891451
nc_ATS0m,0.02230931783678854
c_ATSC7Z,0.022291437158962032
c_C3SP3,0.022057884948406905
nc_MIC2,0.02203223920143378
nc_ATS6pe,0.02194788413493869
nc_ATS5p,0.021932573788364527
c_GGI2,0.02192362789428725
nc_SMR_VSA5,0.02188082129581081
c_MID_N,0.021571797223953408
c_IC0,0.021452458548509953
c_ATS8m,0.021285947881821327
c_ATSC0m,0.021212921576532196
nc_ATS2Z,0.021184782905481217
nc_ATS8v,0.02117787406796763
c_ATSC0p,0.021157435856076382
c_SMR_VSA6,0.020860657467532993
nc_Sm,0.020664866256709075
nc_ATS6Z,0.020585022985914022
c_SpMAD_D,0.02050184514070636
nc_ATSC0Z,0.020383503224137053
c_ATS3dv,0.020380768886310234
nc_C1SP2,0.02028276000116217
nc_ATS3m,0.020209598580256748
c_BCUTZ-1h,0.02018775861615345
nc_Xpc-6dv,0.020107042713103054
c_ATSC6m,0.020033271755411263
c_SM1_Dzv,0.01993922775870946
nc_SlogP_VSA6,0.019862744781290683
nc_ATS1m,0.019862192726460726
nc_AATS0Z,0.019745642221527367
nc_SsNH2,0.019710552393161575
nc_SRW10,0.019681177387299416
nc_ATSC0d,0.019606428947697797
nc_Xpc-4d,0.019281759156553318
c_SpAbs_Dzp,0.019185322894578416
c_AMID_X,0.019178686253194042
c_Xch-5dv,0.019172316675484677
c_SddsN,0.01916094470908534
c_ATS2m,0.01911531797551915
nc_piPC4,0.01907591748332546
c_Xch-6dv,0.018367897837390977
c_SM1_Dzp,0.018213879668488607
nc_ATS5dv,0.018126290724545763
c_ATS1i,0.01802910955039369
c_ATSC0d,0.017997870272399564
c_ATS1p,0.017878330475184227
c_ATSC5m,0.017746796751607733
c_SpAbs_DzZ,0.017716348620759877
nc_ATS6m,0.017661471268246878
c_Xc-6dv,0.017615097484923483
nc_ZMIC3,0.01755542130419527
c_ECIndex,0.017548074097277436
c_Xc-3dv,0.01753539083472301
c_ATS5p,0.01748785980530564
c_ETA_dAlpha_A,0.01738865553300446
c_VSA_EState6,0.017375768519982408
nc_mZagreb2,0.017318311115178654
nc_SlogP_VSA4,0.017287975493759763
c_ATS4Z,0.017286529787187914
nc_MPC7,0.01716949901669157
nc_ATSC0m,0.017153927682130525
c_MID_C,0.01708267698809743
c_VR1_A,0.016978349337397072
c_SM1_Dzpe,0.01694513085767738
nc_ATS7p,0.016914329692426396
c_ETA_dEpsilon_C,0.01675647443085393
nc_AATS0m,0.016741056098036448
c_GGI4,0.01673087347770468
nc_NddsN,0.016690331072594943
nc_ATS6p,0.016642487721138344
c_ATS2dv,0.016530981741410693
nc_SlogP_VSA5,0.0164378088940118
nc_ZMIC0,0.016416946481103933
nc_Xc-5d,0.016355236559625373
c_SlogP_VSA3,0.016257247877119175
nc_ATS6v,0.016233431373811457
c_AATS0pe,0.01606892540377287
c_ATS1m,0.01605891062691635
nc_ATS5Z,0.01605190595588318
c_VE2_A,0.016044817182235757
c_fragCpx,0.016020316724426602
nc_ATS6d,0.01589342646752942
nc_n6ARing,0.015783531847344347
nc_ATS8Z,0.015744603769331136
c_Xpc-6dv,0.01572671941048513
c_nH,0.0157047326342189
c_IC4,0.015673873323113447
c_ATS5v,0.015578083578197486
nc_ATS7m,0.01532708374373378
c_ATS0v,0.015213274354392885
nc_ATS2pe,0.015052465730132475
c_Xch-7d,0.015050388748645978
c_nFHRing,0.014958176583135814
nc_Xpc-4dv,0.01492674356573281
c_ATSC4m,0.014885746261574708
nc_Xpc-5dv,0.01481114997109453
c_ATS4dv,0.0145276804434053
c_TMWC10,0.014454353787440477
c_SsssN,0.014372072047533224
nc_MWC10,0.014263271112819794
c_Xch-7dv,0.014255378681705904
nc_NssCH2,0.01425457633506257
nc_ABCGG,0.014214903735888877
c_VE2_DzZ,0.014142723984127345
c_ATS6p,0.014055267335287697
c_ETA_shape_x,0.014038307450263241
nc_GGI4,0.013957534546669977
nc_Xp-2d,0.013938120906733718
nc_MPC4,0.01388988391760953
nc_TMPC10,0.013798749597490395
c_Xp-4d,0.013658535388753711
c_Mpe,0.013562033933339577
c_ATS5dv,0.01356141093779071
c_nRot,0.013534047220612874
c_ETA_beta_s,0.013518337403964704
c_nBondsS,0.013432848452211259
nc_Xp-2dv,0.012994303456053761
nc_CIC4,0.012980894205870607
nc_piPC7,0.012965113442031398
nc_GGI10,0.012803332607530511
nc_Mm,0.012667320133460124
c_SpDiam_Dzv,0.012470049040048638
c_JGT10,0.012415752517184915
c_ATS0m,0.012403542123605744
c_PEOE_VSA13,0.012314710545598333
nc_nBondsS,0.012100525805612529
nc_ATS2p,0.011990821254823597
c_Xc-3d,0.011844064748256456
c_Xc-5d,0.011809555212912274
c_SpAbs_Dzv,0.011734332279529438
nc_piPC5,0.011630875470010838
c_MWC03,0.01144417480200388
nc_EState_VSA10,0.011438537340333519
nc_MWC07,0.011419671539620077
nc_NsOH,0.011347050469080034
c_SpDiam_DzZ,0.011233620603760692
nc_ATS1p,0.01112882600143275
c_MPC3,0.011123640285175457
c_Xpc-4dv,0.010972044167828847
c_ATS4v,0.010956376107470467
c_ATS1v,0.010920582159336133
nc_Spe,0.010907071944248748
nc_ATS1dv,0.010888011695081317
nc_ATS4v,0.01083425291918807
c_SpAbs_A,0.010705254940771186
c_Xch-5d,0.01068355226373388
c_SMR_VSA7,0.010502908361760786
c_JGI1,0.010471217573548219
